T,L,R,Mv,Type,Color,Spectral_Class
3068,3.04789E-05,0.17,16.12,Brown Dwarf,red,M
3042,1.95884E-05,0.1542,16.6,Brown Dwarf,red,M
2600,2.83139E-06,0.102,18.7,Brown Dwarf,red,M
2800,1.87068E-05,0.16,16.65,Brown Dwarf,red,M
1939,8.09096E-07,0.103,20.06,Brown Dwarf,red,M
2840,1.38038E-05,0.11,16.98,Brown Dwarf,red,M
2637,1.10662E-05,0.127,17.22,Brown Dwarf,red,M
2600,9.37562E-06,0.096,17.4,Brown Dwarf,red,M
2650,8.95365E-06,0.11,17.45,Brown Dwarf,red,M
2700,3.25087E-05,0.13,16.05,Brown Dwarf,red,M
3600,0.004528976,0.51,10.69,Red Dwarf,red,M
3129,0.001644372,0.3761,11.79,Red Dwarf,red,M
3134,0.000444631,0.196,13.21,Red Dwarf,red,M
3628,0.005495409,0.393,10.48,Red Dwarf,red,M
2650,0.001656533,0.14,11.782,Red Dwarf,red,M
3340,0.000505825,0.24,13.07,Red Dwarf,red,M
2799,0.000103753,0.16,14.79,Red Dwarf,red,M
3692,0.004092607,0.47,10.8,Red Dwarf,red,M
3192,0.000331131,0.1967,13.53,Red Dwarf,red,M
3441,0.002884032,0.351,11.18,Red Dwarf,red,M
25000,0.005011872,0.0084,10.58,White Dwarf,blue white,B
7740,0.000210863,0.01234,14.02,White Dwarf,white,A
7220,0.00017378,0.011,14.23,White Dwarf,white,F
8500,0.000135519,0.01,14.5,White Dwarf,white,A
16500,0.001499685,0.014,11.89,White Dwarf,blue white,B
12990,1.10E-03,0.00984,12.23,White Dwarf,yellowish white,F
8570,0.000178649,0.0097,14.2,White Dwarf,blue white,A
7700,0.000139316,0.0128,14.47,White Dwarf,yellowish white,F
11790,0.000787046,0.011,12.59,White Dwarf,yellowish white,F
7230,2.00E-04,0.013,14.08,White Dwarf,pale yellow orange,F
39000,6486.344335,10.6,-4.7,Main Sequence,blue,O
30000,4092.606597,6.3,-4.2,Main Sequence,blue-white,B
15276,524.8074602,7.2,-1.97,Main Sequence,blue-white,B
9700,73.79042301,2.89,0.16,Main Sequence,whitish,B
5800,0.816582371,0.9,5.05,Main Sequence,yellow-white,F
8052,9.204495718,1.8,2.42,Main Sequence,whitish,A
6757,9.289663868,1.12,2.41,Main Sequence,yellow-white,F
6380,5.754399373,0.98,2.93,Main Sequence,yellow-white,F
5936,1.406047524,1.106,4.46,Main Sequence,yellow-white,F
5587,0.831763771,0.99,5.03,Main Sequence,yellow-white,F
3826,50582.4662,19,-6.93,Supergiant,red,M
3365,25822.60191,23,-6.2,Supergiant,red,M
3270,21877.61624,88,-6.02,Supergiant,red,M
3200,66069.3448,17,-7.22,Supergiant,red,M
3008,21478.30474,25,-6,Supergiant,red,M
3600,37325.01578,29,-6.6,Supergiant,red,M
3575,44055.48635,45,-6.78,Supergiant,red,M
3574,10665.96121,89,-5.24,Supergiant,red,M
3625,42461.95639,84,-6.74,Supergiant,red,M
33750,23550.49284,26,-6.1,Supergiant,blue,B
3490,492039.5357,1520,-9.4,Hypergiant,red,M
3750,96382.90236,1260,-7.63,Hypergiant,red,M
3834,409260.6597,1183,-9.2,Hypergiant,red,M
3749,141905.7522,1648,-8.05,Hypergiant,orange,M
3650,111686.3248,1324,-7.79,Hypergiant,red,M
3450,4285485.204,1349,-11.75,Hypergiant,red,M
3660,5011872.336,1673,-11.92,Hypergiant,red,M
3450,2779713.268,1284,-11.28,Hypergiant,red,M
3752,2679168.325,955,-11.24,Hypergiant,red,M
3535,2992264.637,1546,-11.36,Hypergiant,red,M
3341,2.75423E-05,0.057,16.23,Brown Dwarf,red,M
3432,1.43219E-05,0.19,16.94,Brown Dwarf,red,M
2983,3.13329E-05,0.094,16.09,Brown Dwarf,red,M
2835,1.40605E-05,0.0918,16.96,Brown Dwarf,red,M
2935,2.37684E-06,0.116,18.89,Brown Dwarf,red,M
3295,1.20226E-05,0.132,17.13,Brown Dwarf,red,M
2945,3.94457E-06,0.093,18.34,Brown Dwarf,red,M
2817,2.24905E-05,0.0911,16.45,Brown Dwarf,red,M
2774,9.46237E-06,0.118,17.39,Brown Dwarf,red,M
2871,1.44544E-06,0.12,19.43,Brown Dwarf,red,M
3345,0.001028016,0.273,12.3,Red Dwarf,red,M
3607,0.007655966,0.38,10.12,Red Dwarf,red,M
3304,0.000448745,0.18,13.2,Red Dwarf,red,M
3150,0.001432188,0.35,11.94,Red Dwarf,red,M
3550,0.003767038,0.291,10.89,Red Dwarf,red,M
3180,0.001690441,0.35,11.76,Red Dwarf,red,M
2890,0.000353183,0.24,13.46,Red Dwarf,red,M
3342,0.001527566,0.307,11.87,Red Dwarf,red,M
2621,0.000642688,0.098,12.81,Red Dwarf,red,M
3158,0.000218776,0.161,13.98,Red Dwarf,red,M
7100,0.000197697,0.012,14.09,White Dwarf,white-yellow,F
10574,0.001330454,0.0092,12.02,White Dwarf,white,F
8930,0.000263027,0.0095,13.78,White Dwarf,white,A
17200,0.000895365,0.015,12.45,White Dwarf,blue white,B
14100,0.001158777,0.0089,12.17,White Dwarf,blue white,B
9675,0.000218776,0.0109,13.98,White Dwarf,blue white,A
12010,0.001202264,0.0092,12.13,White Dwarf,blue white,B
10980,0.002857591,0.0087,11.19,White Dwarf,blue white,B
13720,0.000554626,0.00892,12.97,White Dwarf,white,F
19860,0.002488857,0.0131,11.34,White Dwarf,blue ,B
5300,0.544502653,0.91,5.49,Main Sequence,yellow-white,F
4526,0.213599386,0.865,6.506,Main Sequence,yellowish,K
4077,0.275930686,0.795,6.228,Main Sequence,yellowish,K
4980,1.047128548,1.13,4.78,Main Sequence,yellowish,K
9030,22.49054606,2.63,1.45,Main Sequence,blue-white,A
11250,711.2135137,6.98,-2.3,Main Sequence,blue-white,A
5112,1.148153621,0.876,4.68,Main Sequence,orange-red,K
7720,9.036494737,1.34,2.44,Main Sequence,yellow-white,F
12098,83.94599865,7.01,0.02,Main Sequence,blue-white,A
36108,4920.395357,10.2,-4.4,Main Sequence,blue,O
33300,34040.81897,12,-6.5,Supergiant,blue,B
40000,26546.05562,14,-6.23,Supergiant,blue,O
23000,17218.68575,36,-5.76,Supergiant,blue,O
17120,48752.84901,83,-6.89,Supergiant,blue,O
11096,19769.6964,12,-5.91,Supergiant,blue,O
14245,23988.32919,42,-6.12,Supergiant,blue,O
24630,18365.38343,63,-5.83,Supergiant,blue,O
12893,29376.49652,36,-6.34,Supergiant,blue,O
24345,26791.68325,57,-6.24,Supergiant,blue,O
33421,17701.08958,67,-5.79,Supergiant,blue,O
3459,1629296.033,1289,-10.7,Hypergiant,red,M
3605,1803017.741,1124,-10.81,Hypergiant,red,M
3615,2910717.118,1635,-11.33,Hypergiant,red,M
3399,1995262.315,1486,-10.92,Hypergiant,red,M
3610,1887991.349,1522,-10.86,Hypergiant,red,M
3553,2208004.733,1324,-11.03,Hypergiant,red,M
4015,3076096.815,1534,-11.39,Hypergiant,red,K
3625,1076465.214,876,-10.25,Hypergiant,red,M
6850,912010.8394,1467,-10.07,Hypergiant,red,G
3780,1629296.033,1324,-10.7,Hypergiant,red,M
3323,1.1695E-05,0.0912,17.16,Brown Dwarf,red,M
3531,9.03649E-07,0.0976,19.94,Brown Dwarf,red,M
3218,8.3946E-07,0.11,20.02,Brown Dwarf,red,M
3146,1.45881E-05,0.0932,16.92,Brown Dwarf,red,M
3511,1.21339E-05,0.109,17.12,Brown Dwarf,red,M
3225,1.20226E-06,0.121,19.63,Brown Dwarf,red,M
2935,1.51356E-05,0.0932,16.88,Brown Dwarf,red,M
2861,1.77011E-05,0.0899,16.71,Brown Dwarf,red,M
2856,1.28233E-06,0.0782,19.56,Brown Dwarf,red,M
2731,4.96592E-06,0.0856,18.09,Brown Dwarf,red,M
3095,0.003837072,0.492,10.87,Red Dwarf,red,M
3607,0.006251727,0.38,10.34,Red Dwarf,red,M
3100,0.002910717,0.31,11.17,Red Dwarf,red,M
2989,0.000483059,0.34,13.12,Red Dwarf,red,M
3542,0.00017378,0.62,14.23,Red Dwarf,red,M
3243,0.000107647,0.73,14.75,Red Dwarf,red,M
3091,0.002290868,0.24,11.43,Red Dwarf,red,M
3598,0.000169044,0.56,14.26,Red Dwarf,red,M
3324,0.001096478,0.34,12.23,Red Dwarf,red,M
3541,0.000158489,0.256,14.33,Red Dwarf,red,M
13420,0.000291072,0.00981,13.67,White Dwarf,blue white,B
21020,0.002108628,0.0112,11.52,White Dwarf,blue,B
18290,0.000660693,0.00934,12.78,White Dwarf,blue,B
14520,0.001458814,0.00972,11.92,White Dwarf,blue white,B
11900,0.002398833,0.00898,11.38,White Dwarf,blue white ,B
8924,9.63829E-05,0.00879,14.87,White Dwarf,blue white,A
12912,0.000630957,0.00945,12.83,White Dwarf,blue white,B
14732,0.000597035,0.00892,12.89,White Dwarf,white,F
7723,0.000101859,0.00878,14.81,White Dwarf,white,A
12984,0.002754229,0.00996,11.23,White Dwarf,blue white,B
29560,3435.579479,6.02,-4.01,Main Sequence,blue-white,B
8945,76.55966069,2.487,0.12,Main Sequence,blue-white,A
14060,559.7576015,5.745,-2.04,Main Sequence,blue-white,A
16390,1819.700859,5.68,-3.32,Main Sequence,blue-white,B
25070,3341.9504,5.92,-3.98,Main Sequence,blue-white,B
28700,3698.281798,6.4,-4.09,Main Sequence,blue-white,B
26140,2831.391996,5.49,-3.8,Main Sequence,blue-white,B
20120,1958.844674,6.78,-3.4,Main Sequence,blue-white,B
13023,304.789499,6.21,-1.38,Main Sequence,blue-white,A
37800,5701.642723,6.86,-4.56,Main Sequence,blue,O
25390,19952.62315,57,-5.92,Supergiant,blue,O
11567,26915.34804,36,-6.245,Supergiant,blue,O
12675,15135.61248,83,-5.62,Supergiant,blue,O
5752,38370.72455,97,-6.63,Supergiant,blue,O
8927,73790.42301,35,-7.34,Supergiant,blue,O
7282,66069.3448,24,-7.22,Supergiant,blue,O
19923,16143.58557,73,-5.69,Supergiant,blue,O
26373,18365.38343,39,-5.83,Supergiant,blue,O
17383,23334.58062,30,-6.09,Supergiant,blue,O
9373,21281.39046,24,-5.99,Supergiant,blue,O
3570,92044.95718,1480,-7.58,Hypergiant,red,M
3500,159955.8029,1420,-8.18,Hypergiant,red,M
4287,409260.6597,1315,-9.2,Hypergiant,orange,K
26000,373250.1578,1679,-9.1,Hypergiant,blue,B
3600,122461.6199,1190,-7.89,Hypergiant,red,M
3614,103752.8416,1553,-7.71,Hypergiant,red,M
18000,178648.7575,1045,-8.3,Hypergiant,blue,O
11000,779830.1105,1779,-9.9,Hypergiant,blue-white,B
12100,116949.9391,708.9,-7.84,Hypergiant,blue-white,B
24490,169044.0932,1134.5,-8.24,Hypergiant,blue-white,B
2831,2.80543E-05,0.0915,16.21,Brown Dwarf,red,M
2914,3.76704E-06,0.116,18.39,Brown Dwarf,red,M
3419,8.09096E-06,0.126,17.56,Brown Dwarf,red,M
3218,9.90832E-06,0.0987,17.34,Brown Dwarf,red,M
3453,1.25893E-05,0.0773,17.08,Brown Dwarf,red,M
2889,1.44544E-05,0.0973,16.93,Brown Dwarf,red,M
2968,8.95365E-06,0.119,17.45,Brown Dwarf,red,M
3484,1.83654E-05,0.0998,16.67,Brown Dwarf,red,M
2778,1.41906E-06,0.112,19.45,Brown Dwarf,red,M
3523,2.46604E-05,0.129,16.35,Brown Dwarf,red,M
3462,0.002208005,0.148,11.47,Red Dwarf,red,M
3257,0.004365158,0.46,10.73,Red Dwarf,red,M
2994,0.000356451,0.28,13.45,Red Dwarf,red,M
3212,0.000617163,0.378,12.854,Red Dwarf,red,M
3523,0.000912011,0.319,12.43,Red Dwarf,red,M
3598,0.000291877,0.67,13.667,Red Dwarf,red,M
3142,0.000192309,0.258,14.12,Red Dwarf,red,M
3496,9.03649E-05,0.336,14.94,Red Dwarf,red,M
3324,0.000660693,0.471,12.78,Red Dwarf,red,M
3463,0.000105099,0.675,14.776,Red Dwarf,red,M
16790,0.000608135,0.0121,12.87,White Dwarf,blue,B
15680,0.001458814,0.0114,11.92,White Dwarf,blue,B
14982,0.001096478,0.0113,12.23,White Dwarf,blue,B
13340,0.000591562,0.0116,12.9,White Dwarf,blue,B
18340,0.002779713,0.0124,11.22,White Dwarf,blue,B
19920,0.002488857,0.0142,11.34,White Dwarf,blue,B
24020,0.005152286,0.0127,10.55,White Dwarf,blue,B
23092,0.00724436,0.0104,10.18,White Dwarf,blue,B
17920,0.001853532,0.0106,11.66,White Dwarf,blue,B
19360,0.001923092,0.00998,11.62,White Dwarf,blue,B
22350,2511.886432,6.36,-3.67,Main Sequence,blue-white,B
10012,84.48896695,5.856,0.013,Main Sequence,blue-white,A
13089,95.4992586,5.992,-0.12,Main Sequence,blue-white,A
22012,895.3647655,6.64,-2.55,Main Sequence,blue-white,B
34190,5754.399373,6.39,-4.57,Main Sequence,blue,O
32460,4742.419853,6.237,-4.36,Main Sequence,blue,O
9320,27.39050251,1.91,1.236,Main Sequence,blue-white,A
19400,1458.81426,6.03,-3.08,Main Sequence,blue-white,B
17140,972.7472238,5.653,-2.64,Main Sequence,blue-white,B
8250,210.862815,1.93,-0.98,Main Sequence,yellow-white,F
23678,27542.28703,35,-6.27,Supergiant,blue,O
12749,54954.08739,76,-7.02,Supergiant,blue,O
9383,52966.34439,98,-6.98,Supergiant,blue,O
23440,20989.39884,81,-5.975,Supergiant,blue,O
16787,29648.3139,62,-6.35,Supergiant,blue,O
18734,81658.23714,46,-7.45,Supergiant,blue,O
9892,68675.21061,80,-7.262,Supergiant,blue,O
10930,26399.76129,25,-6.224,Supergiant,blue,O
23095,19678.8629,86,-5.905,Supergiant,blue,O
21738,74199.33278,92,-7.346,Supergiant,blue,O
24145,293764.9652,1494,-8.84,Hypergiant,blue-white,B
38234,444631.2675,1356,-9.29,Hypergiant,blue,O
32489,1853531.623,1948.5,-10.84,Hypergiant,blue,O
27739,92896.63868,1252,-7.59,Hypergiant,blue-white,B
21904,100000,1130,-7.67,Hypergiant,blue-white,B
38940,801678.0634,1356,-9.93,Hypergiant,blue,O
30839,1527566.058,1194,-10.63,Hypergiant,blue,O
8829,1674942.876,1423,-10.73,Hypergiant,white,A
9235,2654605.562,1112,-11.23,Hypergiant,white,A
37882,112719.7456,1783,-7.8,Hypergiant,blue,O